DriverNumber,LapNumber,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,TyreLife,HARD,INTERMEDIATE,MEDIUM,SOFT,WET
33,16.0,28.135,28.672,28.045,310.0,320.0,309.0,15.0,0,0,0,1,0
33,18.0,27.972,28.903000000000002,28.278000000000002,309.0,321.0,310.0,17.0,0,0,0,1,0
33,19.0,28.548000000000002,28.845000000000002,28.115000000000002,312.0,322.0,313.0,18.0,0,0,0,1,0
33,20.0,28.141000000000002,29.182000000000002,28.674000000000003,315.0,333.0,311.0,19.0,0,0,0,1,0
33,21.0,28.212000000000003,29.494000000000003,28.750000000000004,316.0,338.0,315.0,20.0,0,0,0,1,0
33,22.0,28.063000000000002,29.189,28.327,319.0,319.0,309.0,21.0,0,0,0,1,0
33,23.0,28.288,29.429000000000002,28.475,310.0,325.0,312.0,22.0,0,0,0,1,0
33,24.0,28.478,29.158,28.542,309.0,326.0,309.0,23.0,0,0,0,1,0
33,25.0,28.221,29.117,28.385,310.0,320.0,310.0,24.0,0,0,0,1,0
33,26.0,28.412000000000003,29.245,28.579,308.0,319.0,309.0,25.0,0,0,0,1,0
33,29.0,27.921000000000003,28.608,27.884,312.0,323.0,314.0,3.0,0,0,1,0,0
33,32.0,27.969,28.668000000000003,28.259,324.0,332.0,318.0,6.0,0,0,1,0,0
33,33.0,27.825000000000003,29.146,28.442,317.0,342.0,317.0,7.0,0,0,1,0,0
33,34.0,27.768,28.559,28.12,311.0,330.0,318.0,8.0,0,0,1,0,0
33,35.0,27.712000000000003,28.102,27.524,304.0,315.0,310.0,9.0,0,0,1,0,0
33,37.0,27.883000000000003,27.977,27.554000000000002,306.0,316.0,311.0,11.0,0,0,1,0,0
33,39.0,27.813000000000002,28.078000000000003,27.516000000000002,309.0,320.0,314.0,13.0,0,0,1,0,0
33,40.0,27.884,28.152,27.823,313.0,330.0,321.0,14.0,0,0,1,0,0
33,41.0,27.666,28.052000000000003,27.425,308.0,318.0,313.0,15.0,0,0,1,0,0
33,42.0,27.785,28.121000000000002,27.540000000000003,310.0,320.0,315.0,16.0,0,0,1,0,0
33,43.0,27.783,28.128,27.696,312.0,321.0,316.0,17.0,0,0,1,0,0
33,44.0,27.790000000000003,28.151000000000003,27.611,314.0,329.0,320.0,18.0,0,0,1,0,0
33,45.0,27.69,29.098000000000003,27.998,334.0,331.0,319.0,19.0,0,0,1,0,0
33,46.0,27.561,29.315,28.005000000000003,329.0,328.0,318.0,20.0,0,0,1,0,0
33,47.0,27.953000000000003,28.405,27.746000000000002,312.0,327.0,319.0,21.0,0,0,1,0,0
33,48.0,27.885,28.471,27.821,308.0,318.0,315.0,22.0,0,0,1,0,0
33,50.0,28.007,28.290000000000003,27.691000000000003,310.0,321.0,317.0,24.0,0,0,1,0,0
33,51.0,27.89,28.256,27.610000000000003,311.0,327.0,317.0,25.0,0,0,1,0,0
33,52.0,27.994000000000003,28.315,27.812,313.0,337.0,317.0,26.0,0,0,1,0,0
33,53.0,28.020000000000003,28.397000000000002,27.958000000000002,312.0,335.0,313.0,27.0,0,0,1,0,0
44,2.0,23.771,31.524,28.362000000000002,253.0,247.0,273.0,5.0,0,0,0,1,0
44,3.0,23.702,31.338,28.143,262.0,257.0,273.0,6.0,0,0,0,1,0
44,4.0,23.531000000000002,31.174000000000003,28.077,264.0,259.0,274.0,7.0,0,0,0,1,0
44,5.0,23.529,31.112000000000002,28.057000000000002,268.0,264.0,274.0,8.0,0,0,0,1,0
44,6.0,23.419,30.933000000000003,27.958000000000002,261.0,259.0,274.0,9.0,0,0,0,1,0
44,7.0,23.288,30.968000000000004,27.998,270.0,263.0,274.0,10.0,0,0,0,1,0
44,8.0,23.377000000000002,30.971000000000004,28.007,266.0,262.0,274.0,11.0,0,0,0,1,0
44,9.0,23.278000000000002,30.754,27.94,270.0,263.0,274.0,12.0,0,0,0,1,0
44,10.0,23.193,30.807000000000002,27.974,268.0,255.0,275.0,13.0,0,0,0,1,0
44,11.0,23.271,30.87,28.143,267.0,258.0,275.0,14.0,0,0,0,1,0
44,12.0,23.225,30.751,28.022000000000002,263.0,261.0,275.0,15.0,0,0,0,1,0
